Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Jupyter,audiocraft,Autre,,,oui,,4,2026-03,Pas de description
Jupyter,dinov3,Autre,,,oui,,5,2026-03,Pas de description
Python,claude-howto,Autre,,,oui,,2390,2026-04,Pas de description
Python,VibeVoice,Autre,,,oui,,3863,2026-04,Pas de description
Python,sherlock,Autre,,,oui,,865,2026-04,Pas de description
Python,ChatDev,Autre,,,oui,,84,2026-04,Pas de description
Python,hackingtool,Autre,,,oui,,309,2026-04,Pas de description
Python,timesfm,Autre,,,oui,,495,2026-04,Pas de description
Python,OpenBB,Autre,,,oui,,506,2026-04,Pas de description
Python,cai,Autre,,,oui,,30,2026-04,Pas de description
Python,khoj,Autre,,,oui,,43,2026-04,Pas de description
Python,Matrix-Game,Autre,,,oui,,9,2026-04,Pas de description
Jupyter,handson-mlp,Autre,,,oui,,8,2026-04,Pas de description
Jupyter,nn-zero-to-hero,Autre,,,oui,,10,2026-04,Pas de description
Jupyter,aliyun_acp_learning,Autre,,,oui,,4,2026-04,Pas de description
Jupyter,Made-With-ML,Autre,,,oui,,11,2026-04,Pas de description
