Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Python,TrendRadar,ML,non,non,oui,Découvrir,690,2025-12,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点
Python,cursor-free-vip,NLP,non,non,oui,Découvrir,118,2025-12,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.
Python,LightRAG,NLP,non,non,oui,Découvrir,65,2025-12,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
Python,verl,NLP,non,non,oui,Découvrir,65,2025-12,verl: Volcano Engine Reinforcement Learning for LLMs
Python,Memori,NLP,non,non,oui,Découvrir,242,2025-12,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems"
Python,call-center-ai,API,non,non,oui,Découvrir,177,2025-12,"Send a phone call from AI agent, in an API call. Or, directly call the bot from the configured phone number!"
Python,WSABuilds,Autre,non,non,oui,Découvrir,79,2025-12,Run Windows Subsystem For Android on your Windows 10 and Windows 11 PC using prebuilt binaries with Google Play Store (MindTheGapps) and/or Magisk or KernelSU (root solutions) built in.
Python,n8n-workflows,Web,non,non,oui,Découvrir,262,2025-12,all of the workflows of n8n i could find (also from the site itself)
Python,OpCore-Simplify,Autre,non,non,oui,Découvrir,235,2025-12,A tool designed to simplify the creation of OpenCore EFI
Python,MineContext,NLP,non,non,oui,Découvrir,57,2025-12,MineContext is your proactive context-aware AI partner（Context-Engineering+ChatGPT Pulse）
Python,adk-python,ML,non,non,oui,Découvrir,56,2025-12,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
Python,SurfSense,Autre,non,non,oui,Découvrir,21,2025-12,"Open source alternative to NotebookLM, Perplexity, and Glean. Connects to search engines, Slack, Linear, Jira, ClickUp, Notion, YouTube, GitHub, Discord, and more. Join our Discord: https://discord.gg/ejRNvftDp9"
Python,RLinf,NLP,non,non,oui,Découvrir,7,2025-12,"RLinf is a flexible and scalable open-source infrastructure designed for post-training foundation models (LLMs, VLMs, VLAs) via reinforcement learning."
Python,tinker-cookbook,ML,non,non,oui,Découvrir,9,2025-12,Post-training with Tinker
Python,googlesans-code,Autre,non,non,oui,Découvrir,7,2025-12,The Google Sans Code font family
Python,AP2,ML,,,,,4,2025-12,Building a Secure and Interoperable Future for AI-Driven Payments.
Python,PythonRobotics,NLP,non,non,oui,Découvrir,26,2025-12,Python sample codes and textbook for robotics algorithms.
JavaScript,engine,Web,,,,,106,2025-12,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF"
JavaScript,serverless-dns,Autre,non,non,oui,Découvrir,6,2025-12,"The RethinkDNS resolver that deploys to Cloudflare Workers, Deno Deploy, Fastly, and Fly.io"
JavaScript,claude-code-templates,Autre,non,non,oui,Découvrir,128,2025-12,CLI tool for configuring and monitoring Claude Code
