Langage,Nom,Type,Déjà_connu,Maîtrise,À_travailler,Objectif_personnel,Étoiles,Date,Description
Python,ComfyUI-WanVideoWrapper,Autre,non,non,oui,Découvrir,41,2025-08,Pas de description
Python,SkyReels-V2,ML,non,non,oui,Découvrir,36,2025-08,SkyReels-V2: Infinite-length Film Generative model
Python,ART,ML,non,non,oui,Découvrir,279,2025-08,"Agent Reinforcement Trainer: train multi-step agents for real-world tasks using GRPO. Give your agents on-the-job training. Reinforcement learning for Qwen2.5, Qwen3, Llama, Kimi, and more!"
Python,copyparty,Web,non,non,oui,Découvrir,3325,2025-08,"Portable file server with accelerated resumable uploads, dedup, WebDAV, FTP, TFTP, zeroconf, media indexer, thumbnails++ all in one file, no deps"
Python,storm,NLP,non,non,oui,Découvrir,26,2025-08,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.
Python,supervision,Autre,non,non,oui,Découvrir,513,2025-08,We write your reusable computer vision tools. 💜
Python,HippoRAG,Web,non,non,oui,Découvrir,12,2025-08,[NeurIPS'24] HippoRAG is a novel RAG framework inspired by human long-term memory that enables LLMs to continuously integrate knowledge across external documents. RAG + Knowledge Graphs + Personalized PageRank.
Python,tinygrad,Autre,non,non,oui,Découvrir,6,2025-08,You like pytorch? You like micrograd? You love tinygrad! ❤️
Python,WebAgent,Web,non,non,oui,Découvrir,100,2025-08,🌐 WebAgent for Information Seeking built by Tongyi Lab: WebWalker & WebDancer & WebSailor & WebShaper https://arxiv.org/abs/2507.15061 https://arxiv.org/pdf/2507.02592
Python,gpt-pilot,ML,non,non,oui,Découvrir,15,2025-08,The first real AI developer
Python,jumpserver,Web,non,non,oui,Découvrir,18,2025-08,"JumpServer is an open-source Privileged Access Management (PAM) tool that provides DevOps and IT teams with on-demand and secure access to SSH, RDP, Kubernetes, Database and RemoteApp endpoints through a web browser."
Python,galaxy,Data,non,non,oui,Découvrir,7,2025-08,Data intensive science for everyone.
Python,dash,Web,non,non,oui,Découvrir,63,2025-08,Data Apps & Dashboards for Python. No JavaScript Required.
Python,mcp-for-beginners,Web,non,non,oui,Découvrir,132,2025-08,"This open-source curriculum introduces the fundamentals of Model Context Protocol (MCP) through real-world, cross-language examples in .NET, Java, TypeScript, JavaScript, and Python. Designed for developers, it focuses on practical techniques for building modular, scalable, and secure AI workflows from session setup to service orchestration."
Python,camel,Web,non,non,oui,Découvrir,33,2025-08,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org
Python,ANUS,Autre,non,non,oui,Découvrir,103,2025-08,Pas de description
Python,alphafold3,ML,non,non,oui,Découvrir,8,2025-08,AlphaFold 3 inference pipeline.
JavaScript,javascript,Web,non,non,oui,Découvrir,21,2025-08,JavaScript Style Guide
JavaScript,engine,Web,non,non,oui,Découvrir,50,2025-08,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF"
JavaScript,awesome-vscode,Autre,non,non,oui,Découvrir,12,2025-08,🎨 A curated list of delightful VS Code packages and resources.
JavaScript,awesome-cheatsheets,Web,non,non,oui,Découvrir,18,2025-08,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file."
JavaScript,Administrative-divisions-of-China,Autre,non,non,oui,Découvrir,40,2025-08,中华人民共和国行政区划：省级（省份）、 地级（城市）、 县级（区县）、 乡级（乡镇街道）、 村级（村委会居委会） ，中国省市区镇村二级三级四级五级联动地址数据。
JavaScript,drawdb,Data,non,non,oui,Découvrir,33,2025-08,"Free, simple, and intuitive online database diagram editor and SQL generator."
JavaScript,open-webui,API,non,non,oui,Découvrir,189,2025-08,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
JavaScript,uptime-kuma,Autre,non,non,oui,Découvrir,53,2025-08,A fancy self-hosted monitoring tool
JavaScript,meteor,Web,non,non,oui,Découvrir,1,2025-08,"Meteor, the JavaScript App Platform"
JavaScript,Prebid.js,Autre,non,non,oui,Découvrir,0,2025-08,Setup and manage header bidding advertising partners without writing code or confusing line items. Prebid.js is open source and free.
JavaScript,next.js,Web,non,non,oui,Découvrir,35,2025-08,The React Framework
JavaScript,jsoneditor,Web,non,non,oui,Découvrir,4,2025-08,"A web-based tool to view, edit, format, and validate JSON"
JavaScript,awesome-chatgpt-prompts,NLP,non,non,oui,Découvrir,92,2025-08,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
Rust,rustdesk,Autre,non,non,oui,Découvrir,125,2025-08,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
Rust,iroh,Autre,non,non,oui,Découvrir,57,2025-08,peer-2-peer that just works
Rust,Pake,Web,non,non,oui,Découvrir,84,2025-08,🤱🏻 Turn any webpage into a desktop app with Rust. 🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
Rust,turso,Data,non,non,oui,Découvrir,44,2025-08,Turso Database is a project to build the next evolution of SQLite.
Rust,convex-backend,Data,,,,,64,2025-08,The open-source reactive database for app developers
Rust,polkadot-sdk,ML,,,,,0,2025-08,The Parity Polkadot Blockchain SDK
Rust,uv,Autre,,,,,122,2025-08,"An extremely fast Python package and project manager, written in Rust."
Rust,lapce,Autre,non,non,oui,Découvrir,36,2025-08,Lightning-fast and Powerful Code Editor written in Rust
Rust,rust-sdk,NLP,non,non,oui,Découvrir,14,2025-08,The official Rust SDK for the Model Context Protocol
Rust,mountpoint-s3,API,non,non,oui,Découvrir,4,2025-08,"A simple, high-throughput file client for mounting an Amazon S3 bucket as a local file system."
Rust,bandwhich,Autre,non,non,oui,Découvrir,25,2025-08,Terminal bandwidth utilization tool
Rust,dufs,Web,non,non,oui,Découvrir,25,2025-08,"A file server that supports static serving, uploading, searching, accessing control, webdav..."
Rust,nautilus_trader,Autre,,,,,27,2025-08,A high-performance algorithmic trading platform and event-driven backtester
Rust,dioxus,Web,non,non,oui,Découvrir,24,2025-08,"Fullstack app framework for web, desktop, and mobile."
Rust,lighthouse,API,non,non,oui,Découvrir,4,2025-08,Ethereum consensus client in Rust
Rust,tree-sitter,Autre,non,non,oui,Découvrir,22,2025-08,An incremental parsing system for programming tools
Rust,rig,Autre,non,non,oui,Découvrir,19,2025-08,"⚙️🦀 Build portable, modular & lightweight Fullstack Agents"
Rust,cs2-dumper,Autre,non,non,oui,Découvrir,3,2025-08,Counter-Strike: 2 Offset Dumper
Rust,surrealdb,Web,non,non,oui,Découvrir,16,2025-08,"A scalable, distributed, collaborative, document-graph database, for the realtime web"
Rust,openobserve,Data,non,non,oui,Découvrir,8,2025-08,"🚀 10x easier, 🚀 140x lower storage cost, 🚀 high performance, 🚀 petabyte scale - Elasticsearch/Splunk/Datadog alternative for 🚀 (logs, metrics, traces, RUM, Error tracking, Session replay)."
Rust,mistral.rs,NLP,non,non,oui,Découvrir,8,2025-08,Blazingly fast LLM inference.
Rust,ZLUDA,Autre,non,non,oui,Découvrir,7,2025-08,CUDA on non-NVIDIA GPUs
Rust,reth,Autre,non,non,oui,Découvrir,3,2025-08,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust"
Rust,ethersync,NLP,non,non,oui,Découvrir,66,2025-08,"Editor-agnostic, real-time collaborative editing of local text files."
Go,eino,Web,non,non,oui,Découvrir,184,2025-08,The ultimate LLM/AI application development framework in Golang.
Go,keploy,API,non,non,oui,Découvrir,10,2025-08,"Unit, API & Integration Testing Agent for Developers. Generate tests, mocks/stubs for your APIs that actually work!"
Go,viper,Autre,non,non,oui,Découvrir,17,2025-08,Go configuration with fangs
Go,BloodHound,ML,non,non,oui,Découvrir,10,2025-08,Six Degrees of Domain Admin
Go,grype,ML,non,non,oui,Découvrir,9,2025-08,A vulnerability scanner for container images and filesystems
Go,kopia,API,non,non,oui,Découvrir,84,2025-08,"Cross-platform backup tool for Windows, macOS & Linux with fast, incremental backups, client-side end-to-end encryption, compression and data deduplication. CLI and GUI included."
Go,autoscaler,Autre,non,non,oui,Découvrir,3,2025-08,Autoscaling components for Kubernetes
Go,logrus,Autre,non,non,oui,Découvrir,5,2025-08,"Structured, pluggable logging for Go."
Go,mimir,ML,non,non,oui,Découvrir,7,2025-08,"Grafana Mimir provides horizontally scalable, highly available, multi-tenant, long-term storage for Prometheus."
